Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
4096,16,32,2,0,48.2628,0.0462052,60.5693,151.178,219.63,51.2742,0,34,34,2847.72,28.5048,4.17147,512
4096,32,16,2,0,48.2592,0.0446469,60.2758,144.528,219.629,51.2375,0,34,34,2847.93,30.5275,4.17177,512
1024,8,8,2,1,2.05915,0.0409943,0,65.131,70.135,51.2167,0,32,32,1042.9,74.9512,12.2215,64
1024,16,16,2,1,1.5101,0.041939,0,66.089,68.499,51.2008,0,33,32,1422.08,95.5175,16.665,256
1024,32,32,2,1,1.62896,0.0403809,0,66.206,67.056,51.1834,0,32,32,1318.32,87.7554,15.449,1024
1024,16,32,2,1,1.54246,0.040573,0,67.921,67.921,51.1953,0,32,32,1392.25,83.24,16.3154,512
1024,32,16,2,1,1.51934,0.0385262,0,66.958,67.823,51.2065,0,32,32,1413.43,89.733,16.5636,512
2048,8,8,2,1,18.1342,0.0688305,13.6389,125.809,178.04,51.1894,0,33,32,947.374,12.696,5.55102,64
2048,16,16,2,1,11.6302,0.0397678,0,96.377,96.377,51.198,0,32,32,1477.17,32.696,8.65532,256
2048,32,32,2,1,11.8315,0.0395954,0,90.64,90.64,51.1795,0,33,32,1452.05,36.7976,8.5081,1024
2048,16,32,2,1,11.5884,0.0392002,0,67.151,100.01,51.1726,0,32,32,1482.5,92.7821,8.68655,512
2048,32,16,2,1,11.4021,0.0399432,0,67.631,98.764,51.192,0,32,32,1506.73,91.6558,8.82848,512
4096,8,8,2,1,185.46,0.790249,399.902,228.407,246.572,51.1957,0,36,35,741.069,4.18185,2.1711,64
4096,16,16,2,1,97.3267,1.75393,208.886,217.09,303.541,55.1154,0,36,35,1412.14,8.71829,4.13713,256
