Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
2048,16,16,2,0,6.16937,0.0597718,0,67.435,69.845,51.296,0,33,33,2784.7,172.545,8.15831,256
2048,32,32,2,0,5.32881,0.0699878,0,63.977,73.856,51.2833,0,33,33,3223.96,253.98,9.44519,1024
2048,16,32,2,0,6.1686,0.0507577,0,69.362,82.108,51.2192,0,33,32,2785.05,153.507,8.15933,512
2048,32,16,2,0,6.1747,0.0558404,0,65.997,69.749,51.2913,0,33,32,2782.3,189.198,8.15127,512
4096,8,8,2,0,74.8278,3.13379,68.3549,193.93,281.806,51.276,0,35,35,1836.74,12.8755,2.69053,64
4096,16,16,2,0,48.2877,0.0649446,30.8881,155.395,219.436,54.5562,0,34,34,2846.25,28.2257,4.16932,256
4096,32,32,2,0,42.8309,0.0899495,25.8392,138.175,187.555,51.2438,0,34,34,3208.87,36.9126,4.7005,1024
4096,16,32,2,0,48.2829,0.0577945,29.8601,153.717,219.63,51.2833,0,34,34,2846.53,27.789,4.16973,512
4096,32,16,2,0,48.2804,0.0561098,32.4918,155.275,219.723,51.262,0,34,34,2846.68,27.3685,4.16994,512
6144,8,8,2,0,267.842,5.69795,320.651,244.739,275.407,51.2813,0,37,36,1731.83,8.952,1.69124,64
6144,16,16,2,0,173.16,5.83252,196.022,241.093,275.747,54.8765,0,36,36,2678.77,14.3852,2.61598,256
6144,32,32,2,0,132.779,5.9287,137.715,235.277,275.828,59.8361,0,37,37,3493.44,19.9124,3.41156,1024
6144,16,32,2,0,171.226,4.69616,197.905,249.141,279.287,61.7603,0,36,36,2709.02,14.4573,2.64553,512
6144,32,16,2,0,172.189,6.33756,195.408,242.167,280.466,61.7748,0,36,36,2693.89,14.9335,2.63075,512
8192,8,8,2,0,620.517,8.44101,803.98,262.883,279.665,61.1612,0,38,38,1771.93,8.784,1.2978,64
8192,16,16,2,0,396.606,9.43028,487.921,261.139,285.72,61.799,0,38,38,2772.3,13.9074,2.03049,256
8192,32,32,2,0,302.246,14.9166,379.392,267.325,283.528,61.6331,0,38,38,3637.8,17.6857,2.66441,1024
8192,16,32,2,0,396.408,8.14225,493.084,258.047,284.954,61.8735,0,38,38,2773.68,14.1389,2.03151,512
8192,32,16,2,0,395.485,7.89109,501.483,262.004,284.573,59.7704,0,38,38,2780.16,13.7473,2.03625,512
512,8,8,3,0,0.185478,0.0459117,0,52.548,52.548,61.2028,0,33,33,1447.26,27.5417,16.9601,64
512,16,16,3,0,0.169344,0.044441,0,51.976,52.354,51.3007,0,33,33,1585.15,30.4977,18.576,256
512,32,32,3,0,0.15751,0.0487757,0,51.585,52.271,51.2967,0,33,33,1704.24,33.0375,19.9716,1024
512,16,32,3,0,0.15241,0.0468102,0,51.886,52.26,51.2795,0,33,33,1761.28,33.9451,20.64,512
512,32,16,3,0,0.166867,0.0461793,0,51.681,52.271,51.2869,0,33,33,1608.68,31.1271,18.8517,512
1024,8,8,3,0,0.966426,0.0472735,0,59.184,59.184,51.2413,0,33,33,2222.09,279.764,13.0201,64
1024,16,16,3,0,0.713344,0.044684,0,58.719,58.719,51.238,0,32,32,3010.45,402.415,17.6393,256
1024,32,32,3,0,0.805434,0.0450174,0,56.587,58.03,51.2405,0,32,32,2666.25,498.692,15.6225,1024
1024,16,32,3,0,0.719558,0.0516681,0,56.684,58.43,51.2877,0,32,32,2984.45,553.059,17.487,512
1024,32,16,3,0,0.74448,0.0483246,0,56.779,58.414,51.2718,0,32,32,2884.54,523.778,16.9016,512
2048,8,8,3,0,6.87447,0.0669119,0,65.594,72.521,51.2277,0,32,32,2499.08,173.955,7.32153,64
2048,16,16,3,0,4.8725,0.0613236,0,68.576,69.844,51.2442,0,32,32,3525.88,203.435,10.3297,256
